Name,Stars,URL,User,Views
PythonHackingBook1,1654,https://api.github.com/repos/xuanhun/PythonHackingBook1,xuanhun,1654
Dwarf,1195,https://api.github.com/repos/iGio90/Dwarf,iGio90,1195
python-build-standalone,1152,https://api.github.com/repos/indygreg/python-build-standalone,indygreg,1152
security_content,1014,https://api.github.com/repos/splunk/security_content,splunk,1014
CVEs,684,https://api.github.com/repos/RhinoSecurityLabs/CVEs,RhinoSecurityLabs,684
git-revise,683,https://api.github.com/repos/mystor/git-revise,mystor,683
BCQ,540,https://api.github.com/repos/sfujim/BCQ,sfujim,540
sklearn-onnx,472,https://api.github.com/repos/onnx/sklearn-onnx,onnx,472
keras-onnx,379,https://api.github.com/repos/onnx/keras-onnx,onnx,379
knative-lambda-runtime,273,https://api.github.com/repos/triggermesh/knative-lambda-runtime,triggermesh,273
